Country,Defense Budget USD,External Debt USD,Purchasing Power Parity USD,Foreign Exchange Gold Reserves USD
Afghanistan,145000000,1929750000,82238000000,8852092000
Albania,720037190,5363000000,51360000000,6516000000
Algeria,25000000000,4764000000,7.22912E+11,83007000000
Angola,31200000000,45299000000,2.78239E+11,14243000000
Argentina,993919790,74362000000,1.213E+12,29560000000
Armenia,1480000000,6002000000,60909000000,3685000000
Australia,57350000000,3.77025E+12,1.635E+12,60404000000
Austria,6103900800,6.93E+11,5.81131E+11,35406000000
Azerbaijan,5100000000,12378000000,2.25198E+11,12699000000
Bahrain,997015509,54450000000,93937000000,4949000000
Bangladesh,3340000000,58020000000,1.473E+12,21395000000
Belarus,1034784000,18010000000,2.6522E+11,8912000000
Belgium,14900000000,1.59419E+12,7.49229E+11,41449000000
Beliz,34400000,1235000000,5538000000,498087000
Benin,137690000,6309000000,56424000000,698900000
Bhutan,26600000,2827000000,11517000000,941018000
Bolivia,467670000,11174000000,1.222E+11,1977000000
Bosnia and Herzegovina,289920000,5359000000,64641000000,9419000000
Botswana,581000000,1761000000,45553000000,3456000000
Brazil,26400000000,1.98582E+11,4.165E+12,3.29732E+11
Bulgaria,2485350000,14277000000,2.19645E+11,43698000000
Burkina Faso,4590000000,3565000000,60001000000,47138000
Cambodia,750000000,8019000000,1.23676E+11,22506000000
Cameroon,835694942,11112000000,1.43264E+11,4882000000
Canada,45824959620,2.57111E+12,2.341E+12,1.19778E+11
Central African Republic,300000000,724179000,5926000000,374405000
Chad,706800000,2286000000,52895000000,1050000000
Chile,6800000000,2.3595E+11,5.96556E+11,44403000000
China,3.03E+11,4.88114E+11,3.3598E+13,3.456E+12
Colombia,15800000000,1.08027E+11,9.78024E+11,61898000000
Croatia,2744000000,60500000000,1.64825E+11,3336000000
Cuba,3301500000,36372600000,81165000000,10442000000
Czechia,9174000000,2.3232E+11,5.21928E+11,1.46281E+11
Democratic Republic of the Congo,960000000,7926000000,1.64367E+11,3898125000
Denmark,14250000000,6.1105E+11,4.40558E+11,1.08405E+11
Dominican Republic,903000000,35044000000,2.76884E+11,13471000000
Ecuador,2963400000,39658000000,2.52728E+11,6908000000
Egypt,5193500000,1.17272E+11,1.958E+12,44921000000
El Salvador,1037200000,12668000000,73961000000,3705000000
Eritrea,219000000,461376000,2534000000,191694000
Estonia,2375000000,29040000000,57001000000,2075000000
Ethiopia,3720968976,25426000000,3.80895E+11,3784000000
Finland,8890000000,7.26E+11,3.13591E+11,17993000000
France,67232395000,7.69132E+12,3.732E+12,2.82857E+11
Gabon,340950000,6442000000,48045000000,1447000000
Georgia,680000000,9085000000,91849000000,4447000000
Germany,1.274E+11,6.86247E+12,5.247E+12,3.77936E+11
Ghana,954423756,29241000000,2.43124E+11,3624000000
Greece,8242150000,6.05E+11,1.92205E+11,15222000000
