Country,Oil Production Barrels Day,Oil Consumption Barrels Day,Proven Oil Reserves Barrels,Natural Gas Production Cubic Meters,Natural Gas Consumption Cubic Meters,Proven Natural Gas Reserves Cubic Meters,Coal Production Tonnes,Coal Consumption Tonnes,Proven Coal Reserves Tonnes
Afghanistan,0,58000,0,80200000,80200000,49554000000,767000,503000,66000000
Albania,14000,21000,150000000,50623000,50623000,5692000000,473000,255000,522000000
Algeria,1443000,446000,12200000000,1.00726E+11,47963000000,4.504E+12,0,3000,233000000
Angola,1175000,121000,7783000000,5514000000,1397000000,3.43002E+11,0,0,0
Argentina,807000,749000,2483000000,43280000000,46228000000,3.96464E+11,869000,2534000,799999000
Armenia,0,15000,0,0,2861000000,0,300,19000,317000000
Australia,386000,1151000,2446000000,1.53783E+11,50188000000,3.228E+12,445077000,95667000,1.49472E+11
Austria,18000,244000,35200000,618209000,8136000000,5040000000,1288000,5403000,0
Azerbaijan,618000,109000,7000000000,34175000000,11759000000,1.699E+12,0,6000,0
Bahrain,190000,72000,186500000,18005000000,17924000000,81382000000,0,0,0
Bangladesh,13000,263000,28000000,24620000000,30384000000,1.26293E+11,767000,14050000,3260000000
Belarus,30000,125000,198000000,73929000,16683000000,2832000000,0,710000,0
Belgium,11000,596000,0,13436000,15347000000,0,1269000,4372000,4100000000
Beliz,800,5000,6700000,0,0,0,0,0,0
Benin,0,40000,8000000,0,182131000,1133000000,0,164000,0
Bhutan,0,4000,0,0,0,0,4000,105000,0
Bolivia,58000,100000,240900000,13760000000,3055000000,3.0299E+11,0,9000,1000000
Bosnia and Herzegovina,0,34000,0,0,225824000,0,12311000,12304000,2264000000
Botswana,0,22000,0,0,0,0,2242000,1351000,1660000000
Brazil,4221000,3163000,12715000000,22670000000,31654000000,3.63985E+11,15556000,32223000,6596000000
Bulgaria,4000,101000,15000000,20837000,2801000000,5663000000,20970000,20557000,2174000000
Burkina Faso,0,37000,0,0,0,0,0,0,0
Cambodia,0,77000,0,0,0,0,27000,4390000,0
Cameroon,64000,41000,200000000,2595000000,877058000,1.35071E+11,0,0,0
Canada,5688000,2377000,1.703E+11,1.87686E+11,1.30316E+11,2.06713E+12,50687000,20092000,6582000000
Central African Republic,0,2000,0,0,0,0,0,0,3000000
Chad,124000,15000,1500000000,0,0,0,0,0,0
Chile,11000,404000,150000000,1200000000,6916000000,97976000000,474000,8087000,1181000000
China,4984000,16189000,26023000000,2.25341E+11,3.6616E+11,6.654E+12,4805000000,5191000000,1.57041E+11
Colombia,800000,374000,2036000000,11290000000,11451000000,87782000000,52376000,9720000,4554000000
Croatia,11000,70000,71000000,741456000,2502000000,24919000000,0,596000,0
Cuba,34000,118000,124000000,659434000,659434000,70792000000,0,1000,0
Czechia,4000,219000,15000000,224725000,7602000000,3964000000,31946000,33239000,3595000000
Democratic Republic of the Congo,19000,35000,180000000,380000,380000,991090000,0,304000,987999000
Denmark,63000,151000,441000000,1879000000,2208000000,29534000000,0,1135000,0
Dominican Republic,0,146000,0,0,2440000000,0,0,2356000,0
Ecuador,480000,272000,8273000000,309778000,309778000,10902000000,0,14000,24000000
Egypt,667000,830000,3300000000,64817000000,60089000000,1.784E+12,69000,3262000,182000000
El Salvador,3,56000,0,0,226472,0,0,500,0
Eritrea,0,5000,0,0,0,0,0,0,0
Estonia,24000,27000,0,0,354912000,0,0,800,0
Ethiopia,0,102000,428000,0,0,24919000000,456000,1653000,0
Finland,8000,175000,0,0,1157000000,0,811000,3933000,0
France,80000,1536000,61719000,20132000,37001000000,7787000000,2157000,12570000,160000000
Gabon,204000,14000,2000000000,463000000,463000000,25995000000,0,0,0
Georgia,300,34000,35000000,8760000,2796000000,8495000000,148000,384000,900999000
Germany,131000,2062000,115200000,4824000000,77516000000,23390000000,109741000,140994000,35400000000
Ghana,176000,96000,660000000,3192000000,3912000000,22653000000,0,51000,0
Greece,5000,308000,10000000,3284000,5173000000,991090000,10469000,10091000,2876000000
Guatemala,6000,117000,86110000,3276000,2986000,0,0,1012000,0
Honduras,20,71000,0,0,0,0,0,144000,0
Hungary,36000,179000,12100000,1523000000,9485000000,3738000000,4293000,4694000,2633000000
Iceland,0,19000,0,0,0,0,0,137000,0
India,822000,5271000,4605000000,33170000000,58867000000,1.381E+12,1020000000,1262000000,1.27727E+11
Indonesia,865000,1645000,2480000000,57410000000,36061000000,1.408E+12,783453000,281159000,35055000000
Iran,4112000,2415000,2.086E+11,2.6328E+11,2.4489E+11,3.3987E+13,2209000,3032000,1203000000
Iraq,4448000,1043000,1.45019E+11,9860000000,19298000000,3.729E+12,0,0,0
Ireland,600,159000,0,1447000000,5280000000,9911000000,0,1341000,40000000
Israel,15000,219000,12730000,22886000000,11510000000,1.76018E+11,0,5297000,0
Italy,111000,1245000,497934000,3117000000,68735000000,45750000000,1572000,12424000,609999000
Ivory Coast,29000,87000,100000000,2635000000,2635000000,28317000000,0,0,0
Japan,8000,3140000,44115000,2220000000,92843000000,20898000000,27657000,197612000,350000000
Jordan,20,97000,1000000,187262000,4382000000,6031000000,0,269000,0
Kazakhstan,1955000,386000,30000000000,27011000000,22623000000,2.407E+12,120279000,86349000,25605000000
Kenya,0,113000,0,0,0,0,0,1453000,0
Kosovo,0,16000,0,0,0,0,6924000,6931000,1564000000
Kuwait,2910000,430000,1.015E+11,19285000000,26083000000,1.784E+12,0,60000,0
Kyrgyzstan,6000,31000,40000000,31026000,438000000,5663000000,3685000,4212000,28499000000
Laos,0,25000,0,0,0,0,16629000,15944000,62000000
Latvia,2000,33000,0,0,828214000,0,0,20000,0
Lebanon,0,115000,0,0,0,0,0,166000,0
Liberia,0,5000,0,0,0,0,0,0,0
Libya,1245000,207000,48363000000,11832000000,9212000000,1.505E+12,0,0,0
Lithuania,4000,67000,12000000,0,1601000000,0,0,166000,0
Luxembourg,0,51000,0,0,594240000,0,0,34000,0
Madagascar,0,20000,0,0,0,0,0,472000,150000000
Malaysia,582000,672000,3600000000,75456000000,42499000000,1.189E+12,4476000,35741000,226000000
Mali,0,46000,0,0,0,0,0,0,0
Mauritania,0,32000,20000000,0,0,28317000000,0,0,0
Mexico,2101000,1741000,5786000000,31422000000,90566000000,1.80322E+11,6296000,15132000,1160000000
Moldova,0,22000,0,10000,2344000000,0,0,90000,0
Mongolia,15000,39000,0,0,0,0,68824000,8941000,2520000000
Montenegro,0,9000,0,0,0,0,1862000,1658000,337000000
Morocco,25,296000,684000,82595000,243201000,1444000000,0,10304000,96000000
Mozambique,0,42000,0,5388000000,1347000000,2.832E+12,10583000,13000,1792000000
Myanmar,7000,122000,139000000,16780000000,3788000000,6.37129E+11,1031000,907000,252000000
Namibia,0,23000,0,0,0,62297000000,0,24000,350000000
Nepal,0,71000,0,0,0,0,9000,1091000,8000000
Netherlands,70000,840000,137747000,17774000000,33243000000,1.32608E+11,1761000,12796000,3247000000
New Zealand,12000,154000,40993000,3770000000,3819000000,31149000000,3011000,2696000,6750000000
Nicaragua,200,28000,0,0,0,0,0,0,0
Niger,13000,18000,150000000,29509000,29858000,0,427000,426000,90000000
Nigeria,1541000,527000,36890000000,39951000000,20719000000,5.761E+12,1322000,1326000,2144000000
