Country,Serviceable Airports,Labor Force,Ports and Terminals,Merchant Marine,Railway Coverage km,Roadway Coverage km
Afghanistan,68,9133000,0,0,0,34903
Albania,3,1370000,3,69,424,3581
Algeria,95,13294000,17,119,4020,112696
Angola,107,15961000,21,64,2761,76000
Argentina,764,22286000,37,201,17866,240000
Armenia,11,1510000,0,0,686,7700
Australia,2257,14912000,66,604,32606,873573
Austria,62,4768000,0,1,6123,126233
Azerbaijan,32,5020000,0,312,2944,24981
Bahrain,3,913300,4,184,0,4122
Bangladesh,17,77355000,2,558,2460,369105
Belarus,46,4817000,0,4,5528,86600
Belgium,48,5416000,7,198,3602,118414
Beliz,27,190000,2,774,0,3281
Benin,10,6397000,1,6,438,16000
Bhutan,4,406500,0,0,0,12205
Bolivia,201,6859000,0,50,3690,90568
Bosnia and Herzegovina,20,1356000,1,0,965,8619
Botswana,122,1173000,0,0,888,31747
Brazil,5297,106790000,45,888,29850,2000000
Bulgaria,107,3124000,2,78,4029,19512
Burkina Faso,49,6461000,0,0,622,15304
Cambodia,12,9904000,2,195,642,61810
Cameroon,37,11119000,7,198,987,77589
Canada,1425,22868000,284,716,49422,1042300
Central African Republic,43,2000000,0,0,0,24000
Chad,44,6600000,0,0,0,40000
Chile,379,10088000,39,249,7282,77801
China,552,773880000,66,8314,150000,5200000
Colombia,661,26822000,14,153,2141,206102
Croatia,45,1733000,16,384,2617,26958
Cuba,120,489000,34,65,8367,60000
Czechia,252,5541000,0,0,9548,129418
Democratic Republic of the Congo,273,38546000,3,24,4007,152373
Denmark,102,3210000,69,715,2682,73591
Dominican Republic,32,5413000,17,40,496,19705
Ecuador,317,8821000,6,154,965,43950
Egypt,73,33749000,31,441,5085,65050
El Salvador,27,2890000,3,5,13,9012
Eritrea,11,1710000,2,9,306,16000
Estonia,34,756200,20,72,1441,89382
Ethiopia,58,54470000,0,12,659,180000
Finland,98,2898000,37,282,5918,108637
France,1218,31725000,66,553,27860,1053215
Gabon,42,824400,9,87,649,14300
Georgia,21,1833000,3,26,1363,40044
Germany,840,43772000,35,595,39379,830000
Ghana,11,13927000,4,52,947,65725
Greece,82,4655000,57,1215,2345,117000
Guatemala,58,7575000,3,9,800,17440
Honduras,129,4296000,8,489,699,14742
Hungary,109,4954000,0,1,7687,203601
Iceland,82,248400,43,39,0,12905
India,315,607691000,56,1859,65554,6371847
Indonesia,556,143144000,123,11422,8159,496607
Iran,177,28575000,18,965,8484,223485
Iraq,73,12008000,6,74,2272,59623
Ireland,100,2857000,21,94,1688,102227
Israel,40,4710000,5,41,1497,20391
Italy,655,25828000,123,1276,18475,228863
Ivory Coast,29,12595000,5,25,660,81996
Japan,280,69382000,163,5229,27311,1218772
Jordan,18,3080000,1,34,509,7203
Kazakhstan,132,10285000,0,122,16636,96167
Kenya,368,23781000,4,26,3819,161452
Kosovo,2,500300,0,0,437,2248
Kuwait,6,3003000,6,176,0,5749
Kyrgyzstan,28,3197000,0,0,424,34000
Laos,20,3585000,0,1,422,59647
Latvia,55,954900,5,83,2216,57972
Lebanon,8,1939000,5,51,401,21705
Liberia,19,2607000,4,4821,429,10600
Libya,75,2585000,14,96,0,34000
Lithuania,64,1548000,2,59,1911,83821
Luxembourg,3,350000,0,147,271,2746
Madagascar,93,16519000,13,29,836,31640
Malaysia,100,18264000,35,1750,1851,144403
Mali,30,9126000,0,0,593,139107
Mauritania,25,1210000,2,11,728,12253
Mexico,1580,60959000,35,674,23389,704884
Moldova,10,1358000,0,75,1171,9488
Mongolia,37,1449000,0,318,1815,113200
Montenegro,5,245300,4,18,250,7762
Morocco,48,12475000,12,94,2067,57300
Mozambique,92,15173000,11,36,4787,30562
Myanmar,74,22742000,7,101,5031,157000
Namibia,259,1131000,2,15,2628,48875
Nepal,51,8435000,0,0,59,64500
Netherlands,44,10315000,18,1187,3055,139027
New Zealand,206,3124000,22,117,4128,94000
Nicaragua,39,3225000,5,5,0,24033
Niger,26,10486000,0,0,0,18949
