Country,Population,Available Manpower,Fit for Service,Military Age Annually,Active Personnel,Reserve Personnel,Paramilitary
Afghanistan,40121552,15647405,8826741,842553,75000,0,90000
Albania,3107100,1522479,1292554,62142,7500,0,500
Algeria,47022473,22570787,19185169,752360,130000,150000,150000
Angola,37202061,7440412,3720206,372021,107000,0,10000
Argentina,46994384,20677529,17575900,704916,108000,12370,20000
Armenia,2976765,1666988,1366335,44651,65000,210000,5000
Australia,26768598,11242811,9208398,294455,58910,33270,0
Austria,8967982,4035592,3632033,98648,25000,125600,0
Azerbaijan,10650239,5218617,3908638,159754,128000,306000,15000
Bahrain,1566888,846120,720768,17236,18400,110000,1500
Bangladesh,168697184,82661620,66129296,3205246,204000,0,6800000
Belarus,9501451,5035769,3724569,104516,63000,365400,55000
Belgium,11977634,4910830,3880753,119776,26390,6600,0
Beliz,415789,158000,90226,8732,2000,850,0
Benin,14697052,5584880,3189260,308638,4750,0,0
Bhutan,884546,203446,122067,4423,16000,50000,0
Bolivia,12311974,5417269,4112199,233928,40000,40000,0
Bosnia and Herzegovina,3798671,2355176,1956316,49383,18000,8000,0
Botswana,2450668,1029281,617568,24507,12000,0,0
Brazil,220051512,112226271,88680759,3520824,376000,1340000,200000
Bulgaria,6782659,3187850,2611324,61044,36950,3000,0
Burkina Faso,23042199,8525614,6060098,368675,7500,0,4500
Cambodia,17063669,8190561,5733393,307146,124300,0,10000
Cameroon,30966105,10528476,6224187,495458,38000,0,9000
Canada,38794813,16681770,13500595,426743,63500,23000,5500
Central African Republic,5650957,2203873,1254512,101717,30000,0,1000
Chad,19093595,6873694,3856906,381872,37750,0,5000
Chile,18664652,8959033,7521855,298634,80000,40000,50000
China,1415043270,764123366,626864169,19810606,2035000,510000,625000
Colombia,49588357,24298295,19190694,843002,429000,998000,150000
Croatia,4150116,2033557,1564594,53952,14325,20100,2000
Cuba,10966038,5921661,4737328,142558,50000,40000,1145000
Czechia,10837890,5093808,4129236,97541,30334,4900,0
Democratic Republic of the Congo,115403027,39237029,31389623,2538867,166580,30800,10000
Denmark,5973136,2628180,2126436,77651,21000,12000,51000
Dominican Republic,10815857,4975294,4034315,97343,89000,189000,30000
Ecuador,18309984,8422593,6738074,329580,41250,118000,1500
Egypt,111247248,45611372,38269053,1668709,438500,479000,300000
El Salvador,6628702,3181777,2512278,145831,25000,0,15000
Eritrea,6343956,2220385,1598677,76127,350000,680000,0
Estonia,1193791,584958,456028,13132,7700,230000,10000
Ethiopia,118550298,56904143,35327989,2726657,503000,138000,0
Finland,5626414,2306830,1912981,56264,24000,870000,53800
France,68374591,30084820,23794358,752121,264000,43444,150000
Gabon,2455105,932940,532758,46647,5000,0,2500
Georgia,4900961,2744538,2225036,93118,37000,205500,0
Germany,84119100,38694786,30955829,841191,184324,860000,0
Ghana,34589092,14873310,9961658,622604,15500,0,0
Greece,10461091,4916713,3985676,104611,142700,221350,55000
Guatemala,18255216,7484639,6279794,182552,106114,90000,35000
Honduras,9529188,4192843,3144632,95292,52225,0,23000
Hungary,9855745,4632200,3794462,118269,41600,20000,15000
Iceland,364036,83728,50237,1820,0,0,0
India,1409128296,662290299,522786598,23955181,1431000,1000000,2527000
Indonesia,281562465,137965608,114595923,4786562,404500,401000,250000
Iran,88386937,49496685,41541860,1414191,610000,350000,220000
Iraq,42083436,17675043,14308368,715418,193000,0,100000
Ireland,5233461,2407392,1999182,57568,7557,1720,0
Israel,9402617,3949099,3281513,131637,169500,465000,35000
Italy,60964931,27434219,22191235,548684,165500,18300,105000
Ivory Coast,29981758,12292521,7855221,569653,22000,0,5500
Japan,123201945,52976836,42874277,1108818,251500,56000,25000
Jordan,11174024,3463947,2983464,145262,114500,100000,35000
Kazakhstan,20260006,9117003,6928922,283640,110000,135000,55000
Kenya,58246378,21551160,14037377,931942,50000,0,25000
Kosovo,1977093,917371,743387,17794,4000,5000,500
Kuwait,3138355,1726095,1449920,37660,78000,24000,7500
Kyrgyzstan,6172101,3147772,2487357,117270,23000,0,55000
Laos,7953556,3499565,2521277,159071,100000,30000,120000
Latvia,1801246,810561,648449,16211,17870,38000,12500
Lebanon,5364482,2092148,1775644,69738,80000,15000,65000
Liberia,5437249,2392390,1913912,65247,2100,0,5500
Libya,7361263,3827857,3290485,125141,32000,0,100000
Lithuania,2628186,1708321,1332490,36795,23000,104000,14150
